name,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7
Anchorhead Coffee,0.02147768147657352,0.011446811628724643,0.006148152208708485,0.0033233159080588433,0.0384746847193293,0.029755712981519883,0.006120603308151682,0.03941505598135023
Coffeeholic House,0.01542341798532515,0.00766068658983407,0.11133896042215845,0.0011491228844165461,0.0020817406823253194,0.024691254386597986,0.0029429687039658863,0.009169657035215557
Espresso Vivace Roasteria,0.04237092183058465,0.01145206456291336,0.005088420211713413,0.0017003452951796837,0.0026342164273027713,0.019172953631107156,0.00539137167513986,0.010957089595356188
Lighthouse Roasters,0.042727178605006175,0.007023223212092169,0.0033696360485399967,0.0015862604655177417,0.004202634782105325,0.022792608593969498,0.0034912694040066966,0.005138891037189012
Milstead,0.03436580745681588,0.009314339147613784,0.0031011137555293166,0.003190883220069673,0.010293214402026487,0.03371355295646281,0.00853233726729642,0.010906859881058665
Moonshot Coffee,0.024134004017468385,0.01119304993140239,0.005856755068723276,0.0018490907745274997,0.013380046951759574,0.046479438227314866,0.003691352156807136,0.013651319990928654
Moore Coffee Shop,0.018608432649842997,0.07409073734828632,0.00686767778599722,0.005204235030508168,0.003829418184155919,0.02507645680388435,0.006718275599553262,0.009544950478823675
Santo Coffee,0.03099794941471559,0.011609856103851998,0.004478320423766852,0.002747201303285419,0.003839785893170764,0.04863195135815879,0.005238222072846465,0.013404492375119252
Storyville Coffee Company,0.020286753537694654,0.010080689658316395,0.004014627967997187,0.03495781246432439,0.009189813822259352,0.03297918878734395,0.034191135900353484,0.017714382600005116
Sugar Bakery & Coffeehouse,0.023243692738267763,0.011617792216250936,0.005658445322850381,0.003184326212502441,0.011871237854020002,0.035335325944364726,0.021738089560005263,0.018480035685454792
